Subject_Number,Group,Expt Quarter,Age,Sex,Language Classification,LearningRate,Num_Lessons_Completed,Hint_Use_Java,Forum_Use_Java,Solution_Use_Java,Cheatsheet_Used,Help_Total_Java,Quiz_1_noretake,Quiz_2_noretake,Quiz_3_noretake,Quiz_4_noretake,Quiz_5_noretake,Quiz_7_noretake,Quiz_8_noretake,Quiz_9_noretake,Quiz_10_noretake,Quiz_11_noretake,Quiz_12_noretake,Quiz_13_noretake,Quiz_14_noretake,Quiz_15_noretake,Quiz_16_noretake,Quiz_1_retake,Quiz_2_retake,Quiz_3_retake,Quiz_4_retake,Quiz_5_retake,Quiz_7_retake,Quiz_8_retake,Quiz_9_retake,Quiz_10_retake,Quiz_11_retake,Quiz_12_retake,Quiz_13_retake,Quiz_14_retake,Quiz_15_retake,Quiz_16_retake,QuizACC_NoRetake_Java,QuizSD_NoRetake_Java,QuizACC_Retake_Java,QuizSD_Retake_Java,ExamMC_OverallACC,ExamMC_AllSemanticsACC,ExamMC_AllSyntaxACC,TotalExperiencedCount,TotalExperiencedACC,SemTotalExperiencedACC,SynTotalExperiencedACC,Total_InexperiencedCount,Total_InxperiencedACC,SemTotalInexperiencedACC,SynTotalInexperiencedACC,Droid_Coding_Score,Droid_Coding_ACC,Droid_Debug_Count,Droid_Debug_Penalty,Droid_Debug_Score,Droid_Debug_ACC,CarLoan_Coding_Score,CarLoan_Coding_ACC,CarLoan_Debug_Count,CarLoan_Debug_Penalty,CarLoan_Debug_Score,CarLoan_Debug_ACC,ForDigit-CorrTotal,ForDigit-Span,ForDigit-ReSpan,BackDigit-CorrTotal,BackDigit-Span,BackDigit-ReSpan,RR_Score,RR_Percentile,Comp_Score,Comp_ACC,PSS_ChooseA_ACC,PSS_AvoidB_ACC,PSS_All_ACC,PSS_TrainBlocksNum,PythonProf_AllCount,PythonProf_AllACC,PythonProf_AllSynCount,PythonProf_AllSynACC,PythonProf_AllSemCount,PythonProf_AllSemACC,OpSpan_AccErrorTotal,OpSpan_MathErrorTotal,OpSpan_SpeedErrorTotal,OpSpan_MathCorrect,OpSpan_OspanAbsoluteScore,OpSpan_OspanPartialScore,LEAPQ_LD1,LEAPQ_LD1Acquire,LEAPQ_LD1SpeakProf,LEAPQ_LD1UnderProf,LEAPQ_LD2,LEAPQ_LD2Acquire,LEAPQ_LD2SpeakProf,LEAPQ_LD2UnderProf,LEAPQ_LD3,LEAPQ_LD3Acquire,LEAPQ_LD3SpeakProf,LEAPQ_LD3UnderProf,Handedness,MLAT_I,MLAT_II,MLAT_III,MLAT_IV,MLAT_V,MLAT_Total,MLAT_ACC,MLAT_Percentile,Ravens_Score,NDV_Score,NDV_Percentile,Numeracy,LLAMA_B,LLAMA_F,LLAMA_Version,Simon_Con_RT,Simon_Incon_RT,Simon_Incon-Con_RT,Simon_Con_ACC,Simon_Incon_ACC,Simon_Incon-Con_ACC,Column14,Column15,Column16,Column17,Column18,Column19,Column20
28740,New Part - Java-First,SPR23,20,Female,Monolingual,0.87254902,7,18,0,0,2,20,1,0.88,0.7,0.9,0.42,0.57,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0.88,0.7,0.9,0.71,0.57,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.745,0.221607762,0.793333333,0.159457413,0.52,0.56,0.48,26,0.692307692,0.666666667,0.833333333,24,0.333333333,0.461538462,0.153846154,6,0.101694915,11,5,6,0.272727273,30,0.731707317,10,0,10,0.5,7,4,6,7,4,4.5,355,91,27,0.710526316,0.6875,0.6250,0.7333,2,99999,99999,99999,99999,99999,99999,2,3,1,0.9750,44,60,english,0,,10,10,99999,99999,99999,99999,99999,99999,99999,1,39,21,20,15,21,116,0.604166667,50,0.6111,62,66,0.625,0.55,0.85,Online,525.1551724,543.3888889,18.23371648,0.966666667,0.9,-0.066666667,,,,,,,
28741,New Part - Java-First,SPR23,28,Male,Late Bilingual,0.833333333,7,22,17,7,0,46,0.85,1,0.8,0.7,0.42,0.71,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.85,1,0.8,0.7,0.85,0.71,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.746666667,0.193872811,0.818333333,0.110529031,0.5,0.48,0.52,26,0.692307692,0.75,0.75,24,0.291666667,0.230769231,0.307692308,7,0.118644068,6,3,3,0.136363636,31,0.756097561,15,2,13,0.65,12,7,7,13,7,7.5,223,43,21,0.552631579,1.0000,0.7500,0.7167,2,99999,99999,99999,99999,99999,99999,6,7,1,0.9125,49,64,spanish,2,10,10,english,12,7,7,99999,99999,99999,99999,0.9048,23,23,17,14,21,98,0.510416667,25,0.6111,45,25,0.5,0.75,0.9,Online,498.6101695,546.7017544,48.09158489,0.983333333,0.95,-0.033333333,,,,,,,
28742,New Part - Java-First,SPR23,19,Female,Monolingual,0.921568627,7,2,0,0,0,2,1,1,0.8,0.9,1,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,1,0.8,0.9,1,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.95,0.083666003,0.95,0.083666003,0.6,0.56,0.64,26,0.807692308,0.75,1,24,0.375,0.384615385,0.307692308,26,0.440677966,9,1,8,0.363636364,38,0.926829268,20,0,20,1,9,5,5.5,10,5,5.5,279,75,36,0.947368421,0.9375,0.4375,0.6333,2,99999,99999,99999,99999,99999,99999,1,1,0,1.0000,32,52,english,1,10,10,99999,99999,99999,99999,99999,99999,99999,99999,1,10,24,21,14,15,84,0.4375,15,0.6111,74,91,0.625,0.45,0.75,Online,524.8035714,546,21.19642857,0.933333333,0.983333333,0.05,,,,,,,
28743,New Part - Java-First,Dismissed,23,Female,Late Bilingual,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,12,7,7.5,11,5,8,195,29,13,0.342105263,0.6250,0.6875,0.5333,6,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,,,,,,
28744,New Part - Java-First,Dropped Out,20,Female,Early Bilingual,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,8,6,6,8,3,5.5,232,52,35,0.921052632,0.9375,0.5625,0.6833,3,99999,99999,99999,99999,99999,99999,3,5,2,0.9500,51,66,english,0,10,10,french,,6,8,99999,99999,99999,99999,1,37,21,23,12,20,113,0.588541667,45,0.7222,65,74,0.5,0.8,0.9,Online,596.9152542,617.2982456,20.38299138,0.983333333,0.95,-0.033333333,,,,,,,
28745,New Part - Java-First,SPR23,27,Female,Early Bilingual,0.995098039,8,9,4,1,0,14,1,1,1,0.9,0.85,1,0.5,99999,99999,99999,99999,99999,99999,99999,99999,1,1,1,0.9,0.85,1,0.5,99999,99999,99999,99999,99999,99999,99999,99999,0.892857143,0.183549656,0.892857143,0.183549656,0.58,0.56,0.6,26,0.807692308,0.916666667,0.833333333,24,0.333333333,0.230769231,0.384615385,22,0.372881356,12,0,12,0.545454545,37,0.902439024,16,0,16,0.8,7,5,5.5,11,4,7.5,279,75,30,0.789473684,1.0000,0.7500,0.7667,1,99999,99999,99999,99999,99999,99999,4,7,3,0.9125,39,55,english,2,10,10,tagalog,2,5,6,99999,99999,99999,99999,0.875,32,27,21,15,23,118,0.614583333,50,0.6111,75,93,0.75,0.8,0.9,Online,482.4821429,506.0181818,23.53603896,0.933333333,0.916666667,-0.016666667,,,,,,,
28746,New Part - Java-First,SPR23,19,Female,Monolingual,1.558823529,13,25,1,17,0,43,0.85,0.87,0.9,0.7,0.86,0.71,0.5,0.71,1,0.8,0.57,0.6,99999,99999,99999,0.85,0.87,0.9,0.7,0.86,0.71,1,0.71,1,0.8,1,0.8,99999,99999,99999,0.755833333,0.14975485,0.85,0.111681365,0.72,0.68,0.76,45,0.733333333,0.727272727,0.772727273,5,0.6,0.333333333,0.666666667,16,0.271186441,14,1,13,0.590909091,38,0.926829268,19,0,19,0.95,10,5,7.5,10,4,6,339,89,36,0.947368421,1.0000,0.8750,0.9167,4,99999,99999,99999,99999,99999,99999,4,4,0,0.9625,75,75,English,1,10,10,French,10,6,8,Chinese,16,5,5,0.7778,39,28,34,29,24,154,0.802083333,95,0.7778,70,85,0.75,1,1,Online,562.7627119,587.8035714,25.04085956,0.983333333,0.933333333,-0.05,,,,,,,
28747,New Part - Java-First,SPR23,24,Male,Early Bilingual,0.808823529,7,18,10,7,0,35,0.85,0.75,0.8,0.5,0.28,0.85,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.85,0.75,0.8,0.9,0.71,0.85,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.671666667,0.231984195,0.81,0.070710678,0.56,0.6,0.52,26,0.576923077,0.75,0.5,24,0.541666667,0.461538462,0.538461538,9,0.152542373,12,4,8,0.363636364,26,0.634146341,10,1,9,0.45,10,0,8.5,12,2,8,232,52,25,0.657894737,0.8125,0.9375,0.9000,6,99999,99999,99999,99999,99999,99999,3,4,1,0.9375,68,72,English,6,8,8,Chinese,,10,10,99999,99999,99999,99999,0.4667,28,25,12,17,10,92,0.479166667,20,0.7778,44,24,0.375,0.55,0.9,Online,513.5862069,552.7368421,39.15063521,0.966666667,0.95,-0.016666667,,,,,,,
28748,New Part - Java-First,SPR23,20,Female,Monolingual,0.980392157,9,16,18,10,0,44,1,1,0.8,0.9,0.71,1,0.66,0.71,99999,99999,99999,99999,99999,99999,99999,1,1,0.8,0.9,0.71,1,1,0.71,99999,99999,99999,99999,99999,99999,99999,0.8475,0.145282975,0.89,0.131692282,0.7,0.68,0.72,32,0.875,0.866666667,1,18,0.388888889,0.4,0.3,16,0.271186441,6,1,5,0.227272727,40,0.975609756,20,0,20,1,10,6,6.5,10,5,5.5,355,91,34,0.894736842,1.0000,0.2500,0.7667,2,99999,99999,99999,99999,99999,99999,2,2,0,0.9750,50,68,English,1,10,10,99999,99999,99999,99999,99999,99999,99999,99999,0.6842,42,23,30,25,24,144,0.75,90,0.8333,65,74,1,0.65,0.9,Online,526.4237288,536.0847458,9.661016949,0.983333333,0.983333333,0,,,,,,,
28749,New Part - Java-First,SPR23,23,Female,Late Bilingual,1.838235294,15,6,2,1,0,9,1,0.87,0.9,0.9,0.85,1,0.83,0.85,1,0.8,0.42,0.8,0.66,1,99999,1,0.87,0.9,0.9,0.85,1,0.83,0.85,1,0.8,0.85,0.8,1,99999,99999,0.848571429,0.157326566,0.896153846,0.078053236,0.8,0.68,0.92,50,0.8,0.68,0.92,0,99999,99999,99999,57,0.966101695,20,2,18,0.818181818,28,0.682926829,19,2,17,0.85,14,9,9,13,6,8,232,52,34,0.894736842,0.5625,0.6875,0.6333,4,99999,99999,99999,99999,99999,99999,3,4,1,0.9625,62,71,Mandarin,1,10,10,English,6,8,10,99999,99999,99999,99999,0.7895,32,22,12,27,16,109,0.567708333,40,0.6111,64,71,0.75,0.45,0.9,Online,516.8448276,533.5,16.65517241,0.966666667,1,0.033333333,,,,,,,
28750,New Part - Python-First,SPR23,24,Male,Early Bilingual,1.926470588,15,9,5,2,0,16,0.77,0.62,1,0.9,0.85,1,0.83,0.71,0.83,0.88,0.57,0.88,0.33,1,99999,0.77,0.62,1,0.9,0.85,1,0.83,0.71,0.83,0.88,0.57,0.88,0.88,1,99999,0.797857143,0.18856456,0.837142857,0.132573844,0.82,0.76,0.88,50,0.82,0.76,0.88,0,99999,99999,99999,25,0.423728814,18,1,17,0.772727273,40,0.975609756,17,0,17,0.85,11,7,7.5,9,5,5,601,99,35,0.921052632,0.1875,0.3750,0.4000,6,99999,99999,99999,99999,99999,99999,0,2,2,0.9500,38,49,English,6,10,10,Taiwanese,4,10,10,Chinese,10,7,6,0.1111,41,21,20,19,14,115,0.598958333,45,0.7778,72,88,0.75,0.45,0.8,Online,567.0338983,555.3018868,-11.73201151,0.983333333,0.883333333,-0.1,,,,,,,
28751,New Part - Java-First,SPR23,18,Female,Early Bilingual,0.87254902,7,23,23,13,1,59,0.71,0.62,0.5,0.7,0.42,0.85,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.71,0.62,0.5,0.7,0.71,0.85,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.633333333,0.155391977,0.681666667,0.115830336,0.48,0.6,0.36,26,0.615384615,0.833333333,0.5,24,0.333333333,0.384615385,0.230769231,4,0.06779661,8,3,5,0.227272727,31,0.756097561,11,1,10,0.5,9,6,6,11,6,6.5,364,92,30,0.789473684,1.0000,0.7500,0.7333,1,99999,99999,99999,99999,99999,99999,2,3,1,0.9750,56,63,English,2,10,10,Hindi,1,9,10,Urdu,99999,99999,99999,0.5,23,25,19,13,24,104,0.541666667,30,0.3333,66,76,0.625,0.95,0.7,Online,612.5689655,612.7068966,0.137931034,0.966666667,0.966666667,0,,,,,,,
28752,New Part - Java-First,SPR23,19,Female,Monolingual,1.102941176,9,12,9,3,0,24,0.85,1,0.8,1,0.28,0.85,0.66,0.85,99999,99999,99999,99999,99999,99999,99999,0.85,1,0.8,1,0.71,0.85,0.66,0.85,99999,99999,99999,99999,99999,99999,99999,0.78625,0.231759574,0.84,0.120948631,0.68,0.72,0.64,32,0.875,1,0.866666667,18,0.333333333,0.3,0.3,14,0.237288136,16,0,16,0.727272727,29,0.707317073,15,0,15,0.75,4,3,5,6,3,3.5,339,89,30,0.789473684,0.4375,0.5625,0.4833,4,99999,99999,99999,99999,99999,99999,3,4,1,0.9625,48,58,English,1,10,10,99999,99999,99999,99999,99999,99999,99999,99999,0.6842,31,21,21,16,13,102,0.53125,30,0.8889,59,57,0.875,0.65,0.85,Online,543.1186441,546.0338983,2.915254237,0.983333333,0.983333333,0,,,,,,,
28753,New Part - Java-First,SPR23,19,Female,Monolingual,0.960784314,7,12,7,0,0,19,1,0.75,0.9,0.7,0.71,0.85,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0.75,0.9,0.7,0.71,0.85,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.818333333,0.119233664,0.818333333,0.119233664,0.74,0.72,0.76,26,0.923076923,1,1,24,0.541666667,0.461538462,0.538461538,10,0.169491525,16,2,14,0.636363636,35,0.853658537,18,0,18,0.9,9,6,6.5,9,4,6,195,29,29,0.763157895,1.0000,0.8125,0.8833,6,99999,99999,99999,99999,99999,99999,2,3,1,0.9750,33,52,English,99999,10,10,99999,99999,99999,99999,99999,99999,99999,99999,0.5789,23,26,11,18,24,102,0.53125,30,0.7222,68,81,0.5,0.5,0.85,Online,454.3965517,469,14.60344828,0.966666667,0.95,-0.016666667,,,,,,,
28754,New Part - Java-First,SPR23,22,Female,Late Bilingual,0.87254902,7,12,3,5,2,20,1,0.87,1,0.7,1,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,0.87,1,0.7,1,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,0.928333333,0.123355854,0.928333333,0.123355854,0.66,0.56,0.76,26,0.807692308,0.916666667,0.833333333,24,0.5,0.230769231,0.692307692,22,0.372881356,6,2,4,0.181818182,36,0.87804878,18,1,17,0.85,7,4,4.5,7,4,4.5,137,8,21,0.552631579,0.8125,0.5000,0.7833,3,99999,99999,99999,99999,99999,99999,1,2,1,0.9875,56,70,russian,1,10,10,english,2,8,8,latvian,1,9,9,0.9167,40,29,11,23,22,125,0.651041667,60,0.8333,46,27,0.625,1,1,Online,668.8448276,664.9655172,-3.879310345,0.966666667,0.966666667,0,,,,,,,
